,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,pslc:000,umes:925,umes:850,umes:500,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
ACORBAMH0_20230216002023030300T.scan,3,72,0.979,0.981,0.988,0.98,0.987,0.949,0.998,0.97,0.939,0.873,0.972,0.992,0.995,0.864,0.915,0.919,0.763,0.836,0.845
ACORBAMH0_20230216002023030300T.scan,4,96,0.974,0.974,0.981,0.973,0.98,0.923,0.997,0.962,0.923,0.826,0.957,0.986,0.991,0.808,0.867,0.873,0.664,0.739,0.745
ACORBAMH0_20230216002023030300T.scan,5,120,0.969,0.967,0.972,0.966,0.972,0.9,0.996,0.954,0.91,0.789,0.94,0.979,0.986,0.756,0.808,0.818,0.564,0.631,0.631
ACORBAMH0_20230216002023030300T.scan,6,144,0.964,0.96,0.963,0.958,0.962,0.877,0.995,0.947,0.899,0.756,0.918,0.97,0.98,0.704,0.751,0.764,0.457,0.513,0.52
ACORBAMH0_20230216002023030300T.scan,7,168,0.959,0.952,0.951,0.951,0.951,0.851,0.994,0.941,0.89,0.732,0.888,0.959,0.972,0.648,0.688,0.712,0.364,0.399,0.424
ACORBAMH0_20230216002023030300T.scan,8,192,0.955,0.946,0.943,0.944,0.942,0.832,0.992,0.935,0.882,0.71,0.861,0.948,0.965,0.603,0.629,0.647,0.293,0.302,0.334
ACORBAMH0_20230216002023030300T.scan,9,216,0.952,0.943,0.936,0.941,0.936,0.816,0.991,0.931,0.876,0.685,0.836,0.939,0.959,0.554,0.579,0.598,0.25,0.238,0.268
ACORBAMH0_20230216002023030300T.scan,10,240,0.951,0.941,0.933,0.939,0.932,0.806,0.991,0.928,0.872,0.662,0.822,0.933,0.955,0.529,0.54,0.561,0.242,0.213,0.239
ACORBAMH0_20230216002023030300T.scan,11,264,0.949,0.938,0.928,0.936,0.928,0.8,0.99,0.927,0.872,0.646,0.815,0.929,0.952,0.521,0.518,0.534,0.218,0.183,0.224
VIESX666_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESX666_20230216002023030300T.scan,1,24,-0.139,-0.631,-0.043,-0.646,-0.047,0.084,-0.293,0.0,0.0,0.0,0.165,-4.016,-2.886,-0.095,-0.043,-0.097,0.136,-0.015,-0.094
VIESX666_20230216002023030300T.scan,2,48,-0.102,-0.724,-0.053,-0.743,-0.059,0.056,-0.509,0.0,0.0,0.0,-0.955,-6.939,-5.369,-0.175,-0.1,-0.104,0.111,0.005,-0.116
VIESX666_20230216002023030300T.scan,3,72,-0.059,-0.747,-0.057,-0.769,-0.066,-0.009,-0.683,0.0,0.0,0.0,-1.958,-8.796,-7.42,-0.222,-0.104,-0.115,0.108,0.02,-0.136
VIESX666_20230216002023030300T.scan,4,96,-0.052,-0.777,-0.1,-0.799,-0.111,-0.095,-0.819,0.0,0.0,0.0,-2.719,-10.755,-10.327,-0.221,-0.144,-0.053,0.112,-0.001,-0.16
VIESX666_20230216002023030300T.scan,5,120,-0.061,-0.796,-0.166,-0.82,-0.179,-0.193,-0.804,0.0,0.0,0.0,-2.494,-11.6,-12.542,-0.265,-0.141,-0.025,0.133,-0.004,-0.175
VIESX666_20230216002023030300T.scan,6,144,-0.088,-0.852,-0.238,-0.876,-0.254,-0.279,-0.793,0.0,0.0,0.0,-2.313,-12.626,-15.092,-0.24,-0.134,0.1,0.177,0.021,-0.174
VIESX666_20230216002023030300T.scan,7,168,-0.11,-0.89,-0.299,-0.916,-0.315,-0.343,-0.887,0.0,0.0,0.0,-3.105,-14.617,-18.277,-0.218,-0.098,0.201,0.185,0.028,-0.183
VIESX666_20230216002023030300T.scan,8,192,-0.162,-0.942,-0.346,-0.97,-0.364,-0.392,-0.944,0.0,0.0,0.0,-3.376,-15.789,-20.405,-0.156,-0.096,0.264,0.158,0.062,-0.161
VIESX666_20230216002023030300T.scan,9,216,-0.257,-1.008,-0.366,-1.035,-0.386,-0.39,-0.967,0.0,0.0,0.0,-3.689,-16.727,-21.388,-0.14,-0.109,0.252,0.155,0.069,-0.143
VIESX666_20230216002023030300T.scan,10,240,-0.328,-1.082,-0.366,-1.11,-0.387,-0.397,-0.975,0.0,0.0,0.0,-3.885,-17.249,-21.891,-0.094,-0.117,0.213,0.219,0.069,-0.168
VIESX666_20230216002023030300T.scan,11,264,-0.385,-1.159,-0.394,-1.19,-0.415,-0.42,-0.911,0.0,0.0,0.0,-3.24,-17.156,-22.384,-0.045,-0.131,0.189,0.173,0.061,-0.162
RMSEX666_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEX666_20230216002023030300T.scan,1,24,2.756,2.1,0.766,2.118,0.77,0.843,1.96,0.001,0.001,0.0,15.914,13.054,12.973,3.049,2.612,3.085,2.881,2.515,3.037
RMSEX666_20230216002023030300T.scan,2,48,3.401,2.71,1.283,2.718,1.283,1.326,3.323,0.001,0.001,0.001,24.191,23.985,25.696,3.919,3.797,4.714,3.698,3.664,4.636
RMSEX666_20230216002023030300T.scan,3,72,3.872,3.228,1.831,3.22,1.826,1.839,4.573,0.001,0.002,0.001,32.903,36.667,41.669,4.777,5.108,6.507,4.458,4.953,6.49
RMSEX666_20230216002023030300T.scan,4,96,4.27,3.703,2.334,3.679,2.324,2.335,5.781,0.001,0.002,0.001,41.56,49.905,59.736,5.54,6.359,8.288,5.218,6.32,8.532
RMSEX666_20230216002023030300T.scan,5,120,4.542,4.083,2.832,4.042,2.817,2.778,6.937,0.002,0.002,0.001,50.985,62.677,78.189,6.247,7.523,10.033,5.946,7.598,10.55
RMSEX666_20230216002023030300T.scan,6,144,4.824,4.488,3.351,4.435,3.333,3.13,8.014,0.002,0.002,0.001,60.142,77.943,99.542,6.843,8.57,11.688,6.64,8.864,12.396
